formula_pretty,symmetry.number,symmetry.crystal_system,symmetry.symbol,symmetry.point_group
CaCu3(RuO3)4,204,Cubic,Im-3,m-3
Ba2SmSbO6,225,Cubic,Fm-3m,m-3m
BaBPO5,154,Trigonal,P3_221,32
Sr6B(PO4)5,120,Tetragonal,I-4c2,-42m
Na4UC3O11,165,Trigonal,P-3c1,-3m
Ba4Tb(RuO4)3,166,Trigonal,R-3m,-3m
Ba2NdRuO6,12,Monoclinic,C2/m,2/m
CaCuAs2O7,14,Monoclinic,P2_1/c,2/m
Cs2NaScF6,225,Cubic,Fm-3m,m-3m
Ba2Ho(CuO2)4,65,Orthorhombic,Cmmm,mmm
Ca2BeSi2O7,113,Tetragonal,P-42_1m,-42m
RbLiSO4,14,Monoclinic,P2_1/c,2/m
Na3Sc2V3O12,230,Cubic,Ia-3d,m-3m
AgHgAsS3,9,Monoclinic,Cc,m
LaSc3(BO3)4,15,Monoclinic,C2/c,2/m
K3Co(CN)6,14,Monoclinic,P2_1/c,2/m
DyNi2B2C,139,Tetragonal,I4/mmm,4/mmm
LiScSiO4,62,Orthorhombic,Pnma,mmm
NaSn4(PO4)3,161,Trigonal,R3c,3m
Ca2ZnSi2O7,113,Tetragonal,P-42_1m,-42m
Na2TiGeO5,129,Tetragonal,P4/nmm,4/mmm
Ba2ErSbO6,225,Cubic,Fm-3m,m-3m
CdS,216,Cubic,F-43m,-43m
DyS,225,Cubic,Fm-3m,m-3m
SrO,225,Cubic,Fm-3m,m-3m
Re3As7,229,Cubic,Im-3m,m-3m
YAg,221,Cubic,Pm-3m,m-3m
SmAg,221,Cubic,Pm-3m,m-3m
NbSi2,180,Hexagonal,P6_222,622
OsSe2,205,Cubic,Pa-3,m-3
Mg2Cu,70,Orthorhombic,Fddd,mmm
CaC2,139,Tetragonal,I4/mmm,4/mmm
DyMn2,227,Cubic,Fd-3m,m-3m
SmSn3,221,Cubic,Pm-3m,m-3m
UC2,139,Tetragonal,I4/mmm,4/mmm
SiOs,198,Cubic,P2_13,23
UC,225,Cubic,Fm-3m,m-3m
GaP,216,Cubic,F-43m,-43m
ErSe,225,Cubic,Fm-3m,m-3m
Hg2NO4,14,Monoclinic,P2_1/c,2/m
CaTiO3,221,Cubic,Pm-3m,m-3m
Na3AsS3,198,Cubic,P2_13,23
Cu(SbO3)2,136,Tetragonal,P4_2/mnm,4/mmm
Li2Ge7O15,60,Orthorhombic,Pbcn,mmm
MgSiO3,61,Orthorhombic,Pbca,mmm
Ho(CoSi)2,139,Tetragonal,I4/mmm,4/mmm
ThSiO4,141,Tetragonal,I4_1/amd,4/mmm
LaGaO3,62,Orthorhombic,Pnma,mmm
Ba2SiS4,62,Orthorhombic,Pnma,mmm
TiPO4,63,Orthorhombic,Cmcm,mmm
LiScO2,141,Tetragonal,I4_1/amd,4/mmm
RbCuC2,123,Tetragonal,P4/mmm,4/mmm
Ce(PO3)3,20,Orthorhombic,C222_1,222
ErZrSb,139,Tetragonal,I4/mmm,4/mmm
ErSnPd2,225,Cubic,Fm-3m,m-3m
Ba2HoRuO6,225,Cubic,Fm-3m,m-3m
K3Cu(CN)4,161,Trigonal,R3c,3m
Ba2YTaO6,225,Cubic,Fm-3m,m-3m
C2Se(SN)2,62,Orthorhombic,Pnma,mmm
Ba2HoCu3O7,47,Orthorhombic,Pmmm,mmm
Ba2ErRuO6,225,Cubic,Fm-3m,m-3m
BaNd2Ti3O10,63,Orthorhombic,Cmcm,mmm
Rb2Cd2(SO4)3,198,Cubic,P2_13,23
Tb2Fe2Si2C,12,Monoclinic,C2/m,2/m
LaAgSO,129,Tetragonal,P4/nmm,4/mmm
CsCd(NO2)3,146,Trigonal,R3,3
Ca5B3O9F,8,Monoclinic,Cm,m
NaCSN,62,Orthorhombic,Pnma,mmm
Ba2CaReO6,225,Cubic,Fm-3m,m-3m
MnAg4(SbS3)2,14,Monoclinic,P2_1/c,2/m
Nd2Fe2Si2C,12,Monoclinic,C2/m,2/m
NbSe2,42,Orthorhombic,Fmm2,mm2
GaAg(PSe3)2,163,Trigonal,P-31c,-3m
KRb2YF6,14,Monoclinic,P2_1/c,2/m
Ho2Be2SiO7,113,Tetragonal,P-42_1m,-42m
CsCeS2,166,Trigonal,R-3m,-3m
NaNbN2,166,Trigonal,R-3m,-3m
LaGaS2O,57,Orthorhombic,Pbcm,mmm
LiYO2,14,Monoclinic,P2_1/c,2/m
V5As3,140,Tetragonal,I4/mcm,4/mmm
Tb2C3,220,Cubic,I-43d,-43m
RbTeAu,194,Hexagonal,P6_3/mmc,6/mmm
InBO3,167,Trigonal,R-3c,-3m
SiO2,96,Tetragonal,P4_32_12,422
LaSiNi,109,Tetragonal,I4_1md,4mm
HfMoP,189,Hexagonal,P-62m,-6m2
CaMgAsO4F,15,Monoclinic,C2/c,2/m
Cu3P,185,Hexagonal,P6_3cm,6mm
CaCu2O3,59,Orthorhombic,Pmmn,mmm
RbCuO2,63,Orthorhombic,Cmcm,mmm
NaCuO,139,Tetragonal,I4/mmm,4/mmm
RbCuO,139,Tetragonal,I4/mmm,4/mmm
Li3AuO3,136,Tetragonal,P4_2/mnm,4/mmm
RbAuO2,63,Orthorhombic,Cmcm,mmm
LiCu2Si,225,Cubic,Fm-3m,m-3m
Cu2As,129,Tetragonal,P4/nmm,4/mmm
La2S3,62,Orthorhombic,Pnma,mmm
RbDyO2,166,Trigonal,R-3m,-3m
RbErO2,166,Trigonal,R-3m,-3m
RbTmO2,166,Trigonal,R-3m,-3m
RbLuO2,166,Trigonal,R-3m,-3m
RbHgF3,221,Cubic,Pm-3m,m-3m
KHgF3,221,Cubic,Pm-3m,4/mmm
KCu(CN)2,14,Monoclinic,P2_1/c,2/m
Sr3Pr2(BO3)4,33,Orthorhombic,Pna2_1,mm2
K3Ga2(PO4)3,33,Orthorhombic,Pna2_1,mm2
CaSiSnO5,15,Monoclinic,C2/c,2/m
K2Ti(SiO3)3,176,Hexagonal,P6_3/m,6/m
KBaPO4,62,Orthorhombic,Pnma,mmm
KCa10(PO4)7,161,Trigonal,R3c,3m
AgCNO,148,Trigonal,R-3,-3
Ti2Cu(PO5)2,14,Monoclinic,P2_1/c,2/m
Cu2Hg2SF6,227,Cubic,Fd-3m,m-3m
NaGa(SiO3)2,15,Monoclinic,C2/c,2/m
Na2ZrSi4O11,15,Monoclinic,C2/c,2/m
Ho2Si4CN6,14,Monoclinic,P2_1/c,2/m
Ba3Y2Cu2PtO10,12,Monoclinic,C2/m,2/m
KFePO4F,33,Orthorhombic,Pna2_1,mm2
Na2LiFe(Si2O5)3,64,Orthorhombic,Cmce,mmm
La2SeO2,164,Trigonal,P-3m1,-3m
Nb5N6,193,Hexagonal,P6_3/mcm,6/mmm
Ho,229,Cubic,Im-3m,m-3m
CuAgO2,12,Monoclinic,C2/m,2/m
NdBO3,62,Orthorhombic,Pnma,mmm
PrMgGa,189,Hexagonal,P-62m,-6m2
NaRuO2,166,Trigonal,R-3m,-3m
Ho2InPd2,127,Tetragonal,P4/mbm,4/mmm
LiSnPd2,225,Cubic,Fm-3m,m-3m
P,74,Orthorhombic,Imma,mmm
CeZn3Cu2,191,Hexagonal,P6/mmm,6/mmm
U(Al2Cu)4,139,Tetragonal,I4/mmm,4/mmm
Ba3Nb2ZnO9,164,Trigonal,P-3m1,-3m
Nb6Co7,166,Trigonal,R-3m,-3m
Ba2YNbO6,225,Cubic,Fm-3m,m-3m
K3NaP2(O3F)2,164,Trigonal,P-3m1,-3m
BaRhF6,166,Trigonal,R-3m,-3m
Li2RhF6,136,Tetragonal,P4_2/mnm,4/mmm
Na6ZnO4,186,Hexagonal,P6_3mc,6mm
K2S3,36,Orthorhombic,Cmc2_1,mm2
K2Se3,36,Orthorhombic,Cmc2_1,mm2
K2CaCu(NO2)6,69,Orthorhombic,Fmmm,mmm
Tl3AsSe3,160,Trigonal,R3m,3m
BaRhO3,194,Hexagonal,P6_3/mmc,6/mmm
Li2CdGeO4,31,Orthorhombic,Pmn2_1,mm2
YB4Mo,55,Orthorhombic,Pbam,mmm
Al(CrB)2,65,Orthorhombic,Cmmm,mmm
BaTm2F8,12,Monoclinic,C2/m,2/m
NdS2,129,Tetragonal,P4/nmm,4/mmm
SiB6,221,Cubic,Pm-3m,m-3m
BaSi2,191,Hexagonal,P6/mmm,6/mmm
DyTaO4,13,Monoclinic,P2/c,2/m
AlCuSe2,122,Tetragonal,I-42d,-42m
AlCuTe2,122,Tetragonal,I-42d,-42m
K2RhF6,164,Trigonal,P-3m1,-3m
LaTiO3,221,Cubic,Pm-3m,m-3m
Al2O,225,Cubic,Fm-3m,m-3m
AlO,225,Cubic,Fm-3m,m-3m
PuF3,194,Hexagonal,P6_3/mmc,6/mmm
B4C,166,Trigonal,R-3m,-3m
BaThO3,221,Cubic,Pm-3m,m-3m
AlF3,221,Cubic,Pm-3m,m-3m
Rb2S,225,Cubic,Fm-3m,m-3m
ZrGeO4,88,Tetragonal,I4_1/a,4/m
V2PC,194,Hexagonal,P6_3/mmc,6/mmm
V5P3N,193,Hexagonal,P6_3/mcm,6/mmm
Ta4N5,87,Tetragonal,I4/m,4/m
NdNi4B,191,Hexagonal,P6/mmm,6/mmm
CaSnF6,225,Cubic,Fm-3m,m-3m
ThNF,166,Trigonal,R-3m,-3m
Zn(PO3)2,15,Monoclinic,C2/c,2/m
ZrSO,129,Tetragonal,P4/nmm,4/mmm
BaZrF6,67,Orthorhombic,Cmme,mmm
BaTe3,113,Tetragonal,P-42_1m,-42m
K2SiP2,72,Orthorhombic,Ibam,mmm
Ba(PPd)2,123,Tetragonal,P4/mmm,4/mmm
Ba(AsPd)2,123,Tetragonal,P4/mmm,4/mmm
Ti5TlSe8,12,Monoclinic,C2/m,2/m
Rb2TeO3,12,Monoclinic,C2/m,2/m
TlPS3,71,Orthorhombic,Immm,mmm
La(NiP)2,139,Tetragonal,I4/mmm,4/mmm
VP4,15,Monoclinic,C2/c,2/m
Na5ReO6,12,Monoclinic,C2/m,2/m
CaPtF6,148,Trigonal,R-3,-3
NaTl3(SO3)2,164,Trigonal,P-3m1,-3m
TiB,62,Orthorhombic,Pnma,mmm
MgUO4,74,Orthorhombic,Imma,mmm
ZrS,129,Tetragonal,P4/nmm,4/mmm
CrCuSe2,160,Trigonal,R3m,3m
Rb2Sn2O3,166,Trigonal,R-3m,-3m
PtO2,186,Hexagonal,P6_3mc,6mm
GdO,216,Cubic,F-43m,-43m
LiGaGe,186,Hexagonal,P6_3mc,6mm
Ba(MgSi)2,139,Tetragonal,I4/mmm,4/mmm
Ba(MgGe)2,139,Tetragonal,I4/mmm,4/mmm
Sr(CuSi)2,139,Tetragonal,I4/mmm,4/mmm
Ca(AgGe)2,139,Tetragonal,I4/mmm,4/mmm
Sr(AgGe)2,139,Tetragonal,I4/mmm,4/mmm
Sr(SiAg)2,139,Tetragonal,I4/mmm,4/mmm
Sr(CdGe)2,139,Tetragonal,I4/mmm,4/mmm
Tl3SbS3,160,Trigonal,R3m,3m
CaTiF5,15,Monoclinic,C2/c,2/m
CsEuF3,221,Cubic,Pm-3m,m-3m
CsSrF3,221,Cubic,Pm-3m,m-3m
CsCdF3,221,Cubic,Pm-3m,m-3m
CsMgF3,221,Cubic,Pm-3m,m-3m
RbMgF3,221,Cubic,Pm-3m,m-3m
Li3LaSb2,164,Trigonal,P-3m1,-3m
Li3NdAs2,164,Trigonal,P-3m1,-3m
Li3LaP2,164,Trigonal,P-3m1,-3m
Er(BRh)4,137,Tetragonal,P4_2/nmc,4/mmm
KYO2,166,Trigonal,R-3m,-3m
Na2AgAs,63,Orthorhombic,Cmcm,mmm
LiCeO2,14,Monoclinic,P2_1/c,2/m
K2HfF6,225,Cubic,Fm-3m,m-3m
K2HfF6,189,Hexagonal,P-62m,-6m2
KSmTe2,166,Trigonal,R-3m,-3m
CsPrS2,194,Hexagonal,P6_3/mmc,6/mmm
Sr4IrO6,167,Trigonal,R-3c,-3m
Ca3AuN,221,Cubic,Pm-3m,m-3m
Np(SiPd)2,139,Tetragonal,I4/mmm,4/mmm
RbBS3,14,Monoclinic,P2_1/c,2/m
LiAlPdF6,163,Trigonal,P-31c,-3m
ZrPdF6,148,Trigonal,R-3,-3
KLi6TaO6,166,Trigonal,R-3m,-3m
RbPdF3,221,Cubic,Pm-3m,m-3m
KPdF3,221,Cubic,Pm-3m,m-3m
RbS,189,Hexagonal,P-62m,-6m2
RbSe,189,Hexagonal,P-62m,-6m2
RbTe,189,Hexagonal,P-62m,-6m2
NaLi2AsO4,31,Orthorhombic,Pmn2_1,mm2
K2NaAlP2,72,Orthorhombic,Ibam,mmm
ZnCu2GeS4,121,Tetragonal,I-42m,-42m
Li2CuP2O7,15,Monoclinic,C2/c,2/m
LiDy(PO3)4,15,Monoclinic,C2/c,2/m
Ca3Cr2(SiO4)3,230,Cubic,Ia-3d,m-3m
Ba5Er8Zn4O21,87,Tetragonal,I4/m,4/m
CaSi2(BO4)2,62,Orthorhombic,Pnma,mmm
K2Zn(CN)4,227,Cubic,Fd-3m,m-3m
Li3In2(PO4)3,148,Trigonal,R-3,-3
Na2MgSiO4,33,Orthorhombic,Pna2_1,mm2
Ba2YRuO6,225,Cubic,Fm-3m,m-3m
Ba2YReO6,225,Cubic,Fm-3m,m-3m
KNd(PO3)4,4,Monoclinic,P2_1,2
RbAlSiO4,33,Orthorhombic,Pna2_1,mm2
CaTiSiO5,15,Monoclinic,C2/c,2/m
K2PO3F,62,Orthorhombic,Pnma,mmm
LiAl(Si2O5)2,13,Monoclinic,P2/c,2/m
Ho(CrGe)6,191,Hexagonal,P6/mmm,6/mmm
Dy3Fe2Si3,63,Orthorhombic,Cmcm,mmm
Sr2ZnCu2(SO)2,139,Tetragonal,I4/mmm,4/mmm
Sr3MgIrO6,167,Trigonal,R-3c,-3m
Ca3ReO6,14,Monoclinic,P2_1/c,2/m
Y4C5,55,Orthorhombic,Pbam,mmm
Zn3N2,206,Cubic,Ia-3,m-3
CsTeSe3,14,Monoclinic,P2_1/c,2/m
ZrGeSb,129,Tetragonal,P4/nmm,4/mmm
NaCa9Mg(PO4)7,161,Trigonal,R3c,3m
KCa9Mg(PO4)7,161,Trigonal,R3c,3m
LiAg2Ge,225,Cubic,Fm-3m,m-3m
Ba(NiP)2,139,Tetragonal,I4/mmm,4/mmm
KNO3,62,Orthorhombic,Pnma,mmm
BaSi4O9,188,Hexagonal,P-6c2,-6m2
Mg(AlSe2)2,166,Trigonal,R-3m,-3m
MgTa2O6,136,Tetragonal,P4_2/mnm,4/mmm
Na4SnO4,2,Triclinic,P-1,-1
BaY2PdO5,127,Tetragonal,P4/mbm,4/mmm
LiAsO3,148,Trigonal,R-3,-3
Sr2Cu(BO3)2,14,Monoclinic,P2_1/c,2/m
K3BP2,15,Monoclinic,C2/c,2/m
K3BAs2,15,Monoclinic,C2/c,2/m
K2NaGaP2,72,Orthorhombic,Ibam,mmm
Ba3TiS5,140,Tetragonal,I4/mcm,4/mmm
K2NiP2,63,Orthorhombic,Cmcm,mmm
K2NiAs2,63,Orthorhombic,Cmcm,mmm
Cs3BP2,15,Monoclinic,C2/c,2/m
K2NaGaAs2,72,Orthorhombic,Ibam,mmm
Na3AlTe3,14,Monoclinic,P2_1/c,2/m
Na3AlSe3,14,Monoclinic,P2_1/c,2/m
K2PAu,63,Orthorhombic,Cmcm,mmm
Hf2S,194,Hexagonal,P6_3/mmc,6/mmm
Nb4CoSi,124,Tetragonal,P4/mcc,4/mmm
Mo3P,121,Tetragonal,I-42m,-42m
TlAgTe2,119,Tetragonal,I-4m2,-42m
Ca7Ge,225,Cubic,Fm-3m,m-3m
GaTe,194,Hexagonal,P6_3/mmc,6/mmm
Al(CoSi)2,164,Trigonal,P-3m1,-3m
SnS,216,Cubic,F-43m,-43m
TaS2,160,Trigonal,R3m,3m
SiOs,221,Cubic,Pm-3m,m-3m
Ac,225,Cubic,Fm-3m,m-3m
ScC,225,Cubic,Fm-3m,m-3m
Ga,63,Orthorhombic,Cmcm,mmm
La,229,Cubic,Im-3m,m-3m
Ce,229,Cubic,Im-3m,m-3m
SiRu2,62,Orthorhombic,Pnma,mmm
CoSb2,58,Orthorhombic,Pnnm,mmm
Ba4Nd4Zn3PtO15,186,Hexagonal,P6_3mc,6mm
K2LiAlF6,225,Cubic,Fm-3m,m-3m
Er2(SO4)3,60,Orthorhombic,Pbcn,mmm
RbSm(CO3)2,15,Monoclinic,C2/c,2/m
Sr3(AlP2)2,15,Monoclinic,C2/c,2/m
BaAl2B2O7,155,Trigonal,R32,32
RbCaAs,129,Tetragonal,P4/nmm,4/mmm
RbCaSb,129,Tetragonal,P4/nmm,4/mmm
PrP5,11,Monoclinic,P2_1/m,2/m
SmP5,11,Monoclinic,P2_1/m,2/m
DyP5,11,Monoclinic,P2_1/m,2/m
HoP5,11,Monoclinic,P2_1/m,2/m
TmP5,11,Monoclinic,P2_1/m,2/m
LuP5,11,Monoclinic,P2_1/m,2/m
YP5,11,Monoclinic,P2_1/m,2/m
HgSeO3,62,Orthorhombic,Pnma,mmm
KAlAs2O7,2,Triclinic,P-1,-1
LaNiSb,194,Hexagonal,P6_3/mmc,6/mmm
U2Si4Mo3,14,Monoclinic,P2_1/c,2/m
Ba2UCuO6,139,Tetragonal,I4/mmm,4/mmm
NaLaMgTeO6,11,Monoclinic,P2_1/m,2/m
HoCoC2,38,Orthorhombic,Amm2,mm2
LiBC,194,Hexagonal,P6_3/mmc,6/mmm
LiGaPdF6,163,Trigonal,P-31c,-3m
Ba(CuAs)2,139,Tetragonal,I4/mmm,4/mmm
Cu2SiS3,36,Orthorhombic,Cmc2_1,mm2
NaGeAu,44,Orthorhombic,Imm2,mm2
RbLiSe,129,Tetragonal,P4/nmm,4/mmm
TlTe3Pt2,164,Trigonal,P-3m1,-3m
HgS,154,Trigonal,P3_221,32
Al2Te5,12,Monoclinic,C2/m,2/m
BaLiF3,221,Cubic,Pm-3m,m-3m
LiDyO2,14,Monoclinic,P2_1/c,2/m
Sr2IrO4,139,Tetragonal,I4/mmm,4/mmm
Nb3B4,71,Orthorhombic,Immm,mmm
VTe,194,Hexagonal,P6_3/mmc,6/mmm
Ni,194,Hexagonal,P6_3/mmc,6/mmm
Zr(NiP)2,139,Tetragonal,I4/mmm,4/mmm
Ni3Sb,225,Cubic,Fm-3m,m-3m
TiNi2Sb,225,Cubic,Fm-3m,m-3m
NiTe,166,Trigonal,R-3m,-3m
ZnFe3C,221,Cubic,Pm-3m,m-3m
ScCo3C,221,Cubic,Pm-3m,m-3m
ZnCo3C,221,Cubic,Pm-3m,m-3m
Er3GaC,221,Cubic,Pm-3m,m-3m
Er3InC,221,Cubic,Pm-3m,m-3m
Ho3GaC,221,Cubic,Pm-3m,m-3m
Ni21(B3Sb)2,225,Cubic,Fm-3m,m-3m
Tb(Ni2B)6,36,Orthorhombic,Cmc2_1,mm2
SbIr,194,Hexagonal,P6_3/mmc,6/mmm
V5SiB2,140,Tetragonal,I4/mcm,4/mmm
ThGe2,141,Tetragonal,I4_1/amd,4/mmm
TmNi4B,191,Hexagonal,P6/mmm,6/mmm
U2(Ni7B2)3,225,Cubic,Fm-3m,m-3m
Zn3(Ni10B3)2,225,Cubic,Fm-3m,m-3m
UB2Os3,191,Hexagonal,P6/mmm,6/mmm
Sc3BPb,221,Cubic,Pm-3m,m-3m
TmBPd3,221,Cubic,Pm-3m,m-3m
Ti2ReB2,127,Tetragonal,P4/mbm,4/mmm
UB2Ru3,191,Hexagonal,P6/mmm,6/mmm
Y(BRu)4,142,Tetragonal,I4_1/acd,4/mmm
Sc3SnB,221,Cubic,Pm-3m,m-3m
Sc3TlB,221,Cubic,Pm-3m,m-3m
Y3SnC,221,Cubic,Pm-3m,m-3m
Lu3SnC,221,Cubic,Pm-3m,m-3m
La3PbC,221,Cubic,Pm-3m,m-3m
SrLiP,187,Hexagonal,P-6m2,-6m2
BaLiP,187,Hexagonal,P-6m2,-6m2
BaLiAs,187,Hexagonal,P-6m2,-6m2
Sr,141,Tetragonal,I4_1/amd,4/mmm
LiInSe2,166,Trigonal,R-3m,-3m
LiPrO2,14,Monoclinic,P2_1/c,2/m
RbSbS2,2,Triclinic,P-1,-1
PrAs,225,Cubic,Fm-3m,m-3m
ThSbRh,216,Cubic,F-43m,-43m
USbRh,216,Cubic,F-43m,-43m
SrS,221,Cubic,Pm-3m,m-3m
TaS,187,Hexagonal,P-6m2,-6m2
TbS2,227,Cubic,Fd-3m,m-3m
SbIrS,198,Cubic,P2_13,23
LuAlB4,55,Orthorhombic,Pbam,mmm
V,225,Cubic,Fm-3m,m-3m
Cr,225,Cubic,Fm-3m,m-3m
Mn,225,Cubic,Fm-3m,m-3m
Zr,225,Cubic,Fm-3m,m-3m
Nb,225,Cubic,Fm-3m,m-3m
Mo,225,Cubic,Fm-3m,m-3m
Tc,225,Cubic,Fm-3m,m-3m
Ru,225,Cubic,Fm-3m,m-3m
Hf,225,Cubic,Fm-3m,m-3m
W,225,Cubic,Fm-3m,m-3m
Re,225,Cubic,Fm-3m,m-3m
Os,225,Cubic,Fm-3m,m-3m
BaF2,194,Hexagonal,P6_3/mmc,6/mmm
GeTe7As4,164,Trigonal,P-3m1,-3m
DyCuAs2,129,Tetragonal,P4/nmm,4/mmm
ErCuAs2,129,Tetragonal,P4/nmm,4/mmm
TmCuAs2,129,Tetragonal,P4/nmm,4/mmm
LuGeIr,62,Orthorhombic,Pnma,mmm
CaB4O7,31,Orthorhombic,Pmn2_1,mm2
BaPS3,14,Monoclinic,P2_1/c,2/m
CaPSe3,14,Monoclinic,P2_1/c,2/m
BaPSe3,14,Monoclinic,P2_1/c,2/m
CaC2(SN)2,15,Monoclinic,C2/c,2/m
KNdTe4,125,Tetragonal,P4/nbm,4/mmm
RbNdTe4,125,Tetragonal,P4/nbm,4/mmm
Sr(BS2)2,148,Trigonal,R-3,-3
K2TeOF4,63,Orthorhombic,Cmcm,mmm
RbCd(NO2)3,146,Trigonal,R3,3
KCd(NO2)3,146,Trigonal,R3,3
TlCd(NO2)3,146,Trigonal,R3,3
RbCeSe2,166,Trigonal,R-3m,-3m
RbPrSe2,166,Trigonal,R-3m,-3m
RbNdSe2,166,Trigonal,R-3m,-3m
RbSmSe2,166,Trigonal,R-3m,-3m
RbGdSe2,166,Trigonal,R-3m,-3m
RbTbSe2,166,Trigonal,R-3m,-3m
RbHoSe2,166,Trigonal,R-3m,-3m
RbErSe2,166,Trigonal,R-3m,-3m
RbLuSe2,166,Trigonal,R-3m,-3m
ErBO3,2,Triclinic,P-1,-1
DyBO3,2,Triclinic,P-1,-1
TaTlS3,62,Orthorhombic,Pnma,mmm
HgSeO4,31,Orthorhombic,Pmn2_1,mm2
CaSiNi2,194,Hexagonal,P6_3/mmc,6/mmm
HgSeO3,14,Monoclinic,P2_1/c,2/m
RbAs,19,Orthorhombic,P2_12_12_1,222
Al12W,204,Cubic,Im-3,m-3
YAl,63,Orthorhombic,Cmcm,mmm
YAl,221,Cubic,Pm-3m,m-3m
Y2Al,62,Orthorhombic,Pnma,mmm
YAl3,221,Cubic,Pm-3m,m-3m
YAl3,194,Hexagonal,P6_3/mmc,6/mmm
ZrAl,63,Orthorhombic,Cmcm,mmm
PrMg2Ag,225,Cubic,Fm-3m,m-3m
SmMg2Ag,225,Cubic,Fm-3m,m-3m
MgZnAg2,225,Cubic,Fm-3m,m-3m
ScAg,221,Cubic,Pm-3m,m-3m
ZrAg,129,Tetragonal,P4/nmm,4/mmm
DyAu,221,Cubic,Pm-3m,m-3m
DyAu2,139,Tetragonal,I4/mmm,4/mmm
DyPbAu,216,Cubic,F-43m,-43m
ErAu,63,Orthorhombic,Cmcm,mmm
Cs2As2Pd,63,Orthorhombic,Cmcm,mmm
RbCuF3,140,Tetragonal,I4/mcm,4/mmm
Na3As,225,Cubic,Fm-3m,m-3m
Rb2MgF4,139,Tetragonal,I4/mmm,4/mmm
Ba3MoN4,61,Orthorhombic,Pbca,mmm
Li(Co3P2)2,187,Hexagonal,P-6m2,-6m2
La10Se19,86,Tetragonal,P4_2/n,4/m
Ba3NaN,194,Hexagonal,P6_3/mmc,6/mmm
Y2S2O,14,Monoclinic,P2_1/c,2/m
LiMgAsO4,62,Orthorhombic,Pnma,mmm
CsNa2BO3,59,Orthorhombic,Pmmn,mmm
RbNa2BO3,59,Orthorhombic,Pmmn,mmm
LiGeBO4,82,Tetragonal,I-4,-4
LiSiBO4,82,Tetragonal,I-4,-4
Ca4Al6SO12,217,Cubic,I-43m,-43m
Sr4Al6SO12,217,Cubic,I-43m,-43m
Tb(AlSi)2,164,Trigonal,P-3m1,-3m
Ba(CuSe)2,139,Tetragonal,I4/mmm,4/mmm
Mg(P2Rh3)2,187,Hexagonal,P-6m2,-6m2
Sr(Cu2As)2,166,Trigonal,R-3m,-3m
Eu(Cu2As)2,166,Trigonal,R-3m,-3m
Ca2Al2O5,46,Orthorhombic,Ima2,mm2
Sc6FeTe2,189,Hexagonal,P-62m,-6m2
Sc6NiTe2,189,Hexagonal,P-62m,-6m2
Rb2TeMo2(PO7)2,60,Orthorhombic,Pbcn,mmm
Tl2TeMo2(PO7)2,60,Orthorhombic,Pbcn,mmm
PrAlGe,109,Tetragonal,I4_1md,4mm
Lu(SiRu)2,139,Tetragonal,I4/mmm,4/mmm
SmTiGe,139,Tetragonal,I4/mmm,4/mmm
YTiGe,139,Tetragonal,I4/mmm,4/mmm
HfSiPt,62,Orthorhombic,Pnma,mmm
HfSiPd,62,Orthorhombic,Pnma,mmm
As2S3,14,Monoclinic,P2_1/c,2/m
BaCu13,226,Cubic,Fm-3c,m-3m
ThO2,225,Cubic,Fm-3m,m-3m
K5Te3,87,Tetragonal,I4/m,4/m
TbP,225,Cubic,Fm-3m,m-3m
PrCd,221,Cubic,Pm-3m,m-3m
NbS,194,Hexagonal,P6_3/mmc,6/mmm
Na2S,225,Cubic,Fm-3m,m-3m
FePt3,221,Cubic,Pm-3m,m-3m
Be5Pd,216,Cubic,F-43m,-43m
Ce2Fe17,166,Trigonal,R-3m,-3m
Na3As,185,Hexagonal,P6_3cm,6mm
LuS,225,Cubic,Fm-3m,m-3m
AlN,186,Hexagonal,P6_3mc,6mm
NiSe,194,Hexagonal,P6_3/mmc,6/mmm
NdGe,63,Orthorhombic,Cmcm,mmm
SnSe2,164,Trigonal,P-3m1,-3m
UTe2,71,Orthorhombic,Immm,mmm
Tl2S,146,Trigonal,R3,3
PrGa2,191,Hexagonal,P6/mmm,6/mmm
ThAl2,191,Hexagonal,P6/mmm,6/mmm
NbCo2,227,Cubic,Fd-3m,m-3m
CdS,186,Hexagonal,P6_3mc,6mm
HoNi2,227,Cubic,Fd-3m,m-3m
LaPd3,221,Cubic,Pm-3m,m-3m
ZrW2,227,Cubic,Fd-3m,m-3m
CaN6,70,Orthorhombic,Fddd,mmm
SrCd2,74,Orthorhombic,Imma,mmm
Mg54Ag17,71,Orthorhombic,Immm,mmm
Er2O3,206,Cubic,Ia-3,m-3
EuZn2,74,Orthorhombic,Imma,mmm
NaF,225,Cubic,Fm-3m,m-3m
Pr2C3,220,Cubic,I-43d,-43m
BaS2,15,Monoclinic,C2/c,2/m
P4S5,4,Monoclinic,P2_1,2
SnSe,62,Orthorhombic,Pnma,mmm
Tb2C,166,Trigonal,R-3m,-3m
Pr3Tl,221,Cubic,Pm-3m,m-3m
VSe2,164,Trigonal,P-3m1,-3m
TiCo2,227,Cubic,Fd-3m,m-3m
SiPt,62,Orthorhombic,Pnma,mmm
SnO2,205,Cubic,Pa-3,m-3
U3O8,65,Orthorhombic,Cmmm,mmm
GeSe,62,Orthorhombic,Pnma,mmm
CeHg,221,Cubic,Pm-3m,m-3m
Pu5Rh4,62,Orthorhombic,Pnma,mmm
